"","date","KRW Curncy","MYR Curncy","CNY Curncy","THB Curncy","TWD Curncy","INR Curncy","JPY Curncy","EUR Curncy","AUD Curncy","GBP Curncy","SGD Curncy"
"1",2000-01-03,1127.5,3.8,8.2798,37.02,31.388,43.53,101.45,1.0243,0.6585,1.6362,1.656
"2",2000-01-04,1122.25,3.8,8.2799,37.225,30.576,43.505,103.22,1.0296,0.655,1.636,1.656
"3",2000-01-05,1134.5,3.7999,8.2798,37.15,30.765,43.49,104.14,1.0321,0.6579,1.6426,1.6573
"4",2000-01-06,1146.25,3.7995,8.2797,37.55,30.85,43.54,105.23,1.0328,0.6533,1.6474,1.6645
"5",2000-01-07,1137.5,3.7995,8.2794,37.265,30.848,43.55,105.34,1.0295,0.6549,1.6393,1.6613
"6",2000-01-10,1133.25,3.8,8.2794,37.255,30.825,43.54,105.16,1.0256,0.6561,1.6374,1.6615
"7",2000-01-11,1146,3.8,8.2795,37.675,30.819,43.525,105.95,1.0336,0.6578,1.6475,1.669
"8",2000-01-12,1144.25,3.7999,8.2796,37.55,30.824,43.545,105.79,1.0309,0.6587,1.6466,1.6694
"9",2000-01-13,1135.25,3.8,8.2798,37.45,30.832,43.56,106.17,1.0258,0.6679,1.6472,1.669
"10",2000-01-14,1117.71,3.7995,8.2797,37.455,30.847,43.53,105.87,1.0122,0.6657,1.6313,1.6748
"11",2000-01-17,1120.5,3.7999,8.2793,37.435,30.85,43.545,104.9,1.0122,0.6642,1.6333,1.675
"12",2000-01-18,1126.5,3.8,8.2793,37.335,30.84,43.535,105.67,1.0137,0.6654,1.6379,1.6745
"13",2000-01-19,1133.5,3.8,8.2797,37.375,30.84,43.565,105.32,1.0133,0.6638,1.645,1.676
"14",2000-01-20,1125.5,3.7995,8.2794,37.275,30.83,43.61,105.47,1.0168,0.6658,1.6537,1.6733
"15",2000-01-21,1127.5,3.8,8.2795,37.22,30.82,43.572,104.78,1.0098,0.6629,1.6487,1.68
"16",2000-01-24,1125.43,3.7999,8.2789,37.265,30.813,43.64,105.57,1.0072,0.6543,1.6531,1.6838
"17",2000-01-25,1126.93,3.7999,8.2786,37.295,30.811,43.62,106.04,1.0009,0.6554,1.6452,1.6873
"18",2000-01-26,1127.43,3.8,8.2782,37.555,30.793,43.595,105.66,1.0019,0.6523,1.6403,1.6945
"19",2000-01-27,1126.43,3.8,8.2783,37.415,30.778,43.585,105.12,0.9882,0.6541,1.6396,1.6915
"20",2000-01-28,1123.93,3.7995,8.2781,37.625,30.706,43.64,107.13,0.9747,0.635,1.6201,1.711
"21",2000-01-31,1124.93,3.7999,8.2777,37.545,30.697,43.635,107.32,0.9707,0.637,1.6162,1.7025
"22",2000-02-01,1126.93,3.7999,8.2774,37.575,30.682,43.63,107.85,0.9711,0.6324,1.615,1.6985
"23",2000-02-02,1130.5,3.7995,8.2773,37.635,30.781,43.62,108.16,0.9765,0.6389,1.6088,1.698
"24",2000-02-03,1130,3.8,8.2781,37.535,30.785,43.63,107.56,0.9894,0.6348,1.5972,1.6931
"25",2000-02-04,1129.5,3.7995,8.2788,37.55,30.775,43.63,107.19,0.9832,0.638,1.5918,1.693
"26",2000-02-07,1129.2,3.7995,8.2788,37.675,30.755,43.64,108.62,0.9815,0.6337,1.598,1.6945
"27",2000-02-08,1127.69,3.7999,8.2788,37.645,30.68,43.64,109.47,0.9855,0.6317,1.6113,1.697
"28",2000-02-09,1123.5,3.8,8.2788,37.535,30.626,43.625,108.79,0.9942,0.6362,1.6169,1.6913
"29",2000-02-10,1123.93,3.7999,8.2788,37.415,30.62,43.655,109.27,0.9854,0.6265,1.6097,1.6945
"30",2000-02-11,1121.43,3.7995,8.2788,37.425,30.617,43.66,108.82,0.9875,0.6305,1.5936,1.6936
"31",2000-02-14,1127.43,3.8,8.2779,37.475,30.67,43.62,108.96,0.9783,0.6263,1.588,1.6923
"32",2000-02-15,1126.93,3.8,8.2777,37.52,30.7,43.63,109.22,0.9815,0.6305,1.596,1.6953
"33",2000-02-16,1126.93,3.7995,8.2777,37.665,30.71,43.62,109.44,0.9863,0.6319,1.6077,1.7038
"34",2000-02-17,1128.5,3.7999,8.2772,37.825,30.67,43.585,110.56,0.9878,0.6323,1.609,1.7061
"35",2000-02-18,1129.5,3.7995,8.2772,38.105,30.715,43.64,111.09,0.9839,0.6293,1.6013,1.707
"36",2000-02-21,1132.5,3.8,8.2775,38.145,30.7,43.625,111.26,0.9877,0.6258,1.6005,1.7065
"37",2000-02-22,1134.5,3.7995,8.2773,38.165,30.791,43.625,110.69,1.0038,0.6221,1.6126,1.7078
"38",2000-02-23,1135.5,3.7995,8.278,38.09,30.786,43.63,111.07,1.0036,0.6216,1.6039,1.7131
"39",2000-02-24,1143.5,3.7999,8.278,38.2,30.786,43.645,111.37,0.992,0.6155,1.6003,1.716
"40",2000-02-25,1136.5,3.8,8.2786,37.825,30.76,43.6195,110.29,0.9749,0.6151,1.5953,1.7087
"41",2000-02-28,1134.5,3.7995,8.2786,37.935,30.75,43.64,109.45,0.9709,0.6148,1.5958,1.7185
"42",2000-02-29,1131.11,3.7995,8.2786,38.115,30.73,43.62,110.33,0.9642,0.6178,1.5792,1.7235
"43",2000-03-01,1128,3.7995,8.2786,38.025,30.736,43.63,107.28,0.9727,0.6057,1.5854,1.7158
"44",2000-03-02,1119.75,3.7995,8.2787,38.005,30.7,43.625,107.74,0.9656,0.6063,1.5766,1.7215
"45",2000-03-03,1124.43,3.7995,8.2789,38.005,30.745,43.605,107.9,0.9586,0.6084,1.5778,1.725
"46",2000-03-06,1123.43,3.7995,8.2785,38.075,30.768,43.6,107.54,0.9586,0.6019,1.5749,1.7252
"47",2000-03-07,1122.93,3.7995,8.2784,38.045,30.7,43.6,106.12,0.9584,0.6051,1.5804,1.7175
"48",2000-03-08,1123.43,3.7999,8.2786,37.975,30.71,43.585,107.17,0.961,0.6095,1.5817,1.713
"49",2000-03-09,1124.93,3.7995,8.2787,37.915,30.7,43.605,106.53,0.9669,0.6148,1.5827,1.7076
"50",2000-03-10,1123.43,3.7995,8.2785,37.825,30.738,43.605,106.35,0.9637,0.6151,1.5765,1.7041
"51",2000-03-13,1123.93,3.7999,8.2781,37.875,30.746,43.565,105.52,0.9642,0.6163,1.5792,1.7078
"52",2000-03-14,1123.03,3.7995,8.278,37.875,30.69,43.585,105.12,0.9686,0.6148,1.5776,1.7099
"53",2000-03-15,1122.93,3.7995,8.2778,38.125,30.751,43.58,105.69,0.9669,0.6135,1.5732,1.7149
"54",2000-03-16,1117.5,3.8,8.278,37.855,30.765,43.575,105.37,0.9696,0.6113,1.5771,1.7105
"55",2000-03-17,1117.25,3.8,8.278,37.96,30.69,43.56,106.73,0.9721,0.6067,1.5748,1.718
"56",2000-03-20,1122.43,3.7995,8.2786,38.005,30.795,43.595,106.3,0.9728,0.6077,1.5689,1.7196
"57",2000-03-21,1121.93,3.8,8.2783,37.845,30.74,43.6,106.78,0.9615,0.6099,1.5717,1.7196
"58",2000-03-22,1120.43,3.7995,8.2783,37.81,30.7,43.605,107.11,0.961,0.6044,1.5795,1.7125
"59",2000-03-23,1109.75,3.8,8.2787,37.7,30.65,43.585,107.24,0.9715,0.6058,1.5867,1.7108
"60",2000-03-24,1117.93,3.7995,8.2789,37.735,30.666,43.62,106.87,0.9779,0.6086,1.5941,1.7162
"61",2000-03-27,1119.93,3.7995,8.2792,37.78,30.6,43.615,106.79,0.9672,0.6128,1.5882,1.7154
"62",2000-03-28,1119.93,3.7999,8.2795,37.765,30.59,43.615,105.84,0.9605,0.6164,1.5893,1.7145
"63",2000-03-29,1118.43,3.8,8.2789,37.775,30.536,43.615,105.69,0.9514,0.6105,1.5936,1.7165
"64",2000-03-30,1117.43,3.7995,8.2788,37.835,30.478,43.605,105.57,0.9613,0.6134,1.5948,1.7181
"65",2000-03-31,1116.43,3.7995,8.2787,37.835,30.43,43.62,102.78,0.9555,0.6071,1.5911,1.7117
"66",2000-04-03,1119.93,3.7995,8.2786,37.775,30.45,43.63,104.9,0.9553,0.6086,1.5964,1.717
"67",2000-04-04,1120.43,3.7995,8.2791,37.855,30.435,43.645,105.16,0.9596,0.6047,1.5932,1.717
"68",2000-04-05,1120.93,3.7995,8.2795,38.015,30.465,43.65,104.88,0.9625,0.6061,1.5847,1.7126
"69",2000-04-06,1119.43,3.7995,8.2795,38.025,30.465,43.645,104.77,0.9584,0.6014,1.5815,1.7146
"70",2000-04-07,1107.1,3.7995,8.2795,37.985,30.46,43.65,105.37,0.9553,0.5986,1.5795,1.7157
"71",2000-04-10,1109.8,3.7995,8.2798,38.03,30.32,43.64,106.44,0.9627,0.5953,1.5855,1.7178
"72",2000-04-11,1109.75,3.7995,8.2791,38.04,30.314,43.645,106.92,0.9592,0.5958,1.5856,1.7198
"73",2000-04-12,1108.25,3.7999,8.2796,38.065,30.305,43.645,105.78,0.959,0.5981,1.5886,1.719
"74",2000-04-13,1106.5,3.7995,8.2794,37.825,30.39,43.645,105.88,0.9524,0.5983,1.5866,1.7158
"75",2000-04-14,1111.1,3.7997,8.2794,37.877,30.4,43.662,104.74,0.9622,0.5976,1.5868,1.7077
"76",2000-04-17,1113.7,3.7999,8.2794,37.949,30.55,43.664,104.54,0.9527,0.5909,1.5805,1.7054
"77",2000-04-18,1110.26,3.7996,8.279,37.925,30.539,43.661,104.74,0.9453,0.5948,1.5771,1.6988
"78",2000-04-19,1109.4,3.8002,8.2793,37.977,30.585,43.662,104.82,0.9402,0.5957,1.582,1.6987
