,date,SNEER
0,2000-01-07,100.05
1,2000-01-14,99.78
2,2000-01-21,99.48
3,2000-01-28,98.84
4,2000-02-04,99.23
5,2000-02-11,99.23
6,2000-02-18,99.03
7,2000-02-25,98.77
8,2000-03-03,98.36
9,2000-03-10,98.43
10,2000-03-17,98.52
11,2000-03-24,98.35
12,2000-03-31,98.24
13,2000-04-07,98.43
14,2000-04-14,98.44
15,2000-04-21,99.48
16,2000-04-28,99.83
17,2000-05-05,99.59
18,2000-05-12,99.62
19,2000-05-19,99.72
20,2000-05-26,99.52
21,2000-06-02,99.33
22,2000-06-09,99.35
23,2000-06-16,99.18
24,2000-06-23,98.64
25,2000-06-30,98.74
26,2000-07-07,99.04
27,2000-07-14,99.08
28,2000-07-21,98.98
29,2000-07-28,99.3
30,2000-08-04,100.2
31,2000-08-11,100.53
32,2000-08-18,100.49
33,2000-08-25,100.57
34,2000-09-01,100.51
35,2000-09-08,100.27
36,2000-09-15,100.31
37,2000-09-22,100.45
38,2000-09-29,100.21
39,2000-10-06,100.37
40,2000-10-13,100.28
41,2000-10-20,100.79
42,2000-10-27,101.1
43,2000-11-03,101.5
44,2000-11-10,101.74
45,2000-11-17,101.53
46,2000-11-24,101.61
47,2000-12-01,101.62
48,2000-12-08,101.87
49,2000-12-15,102.24
50,2000-12-22,102.07
51,2000-12-29,102.31
52,2001-01-05,101.94
53,2001-01-12,102.14
54,2001-01-19,102.28
55,2001-01-26,101.81
56,2001-02-02,101.58
57,2001-02-09,101.58
58,2001-02-16,101.79
59,2001-02-23,102.16
60,2001-03-02,102.16
61,2001-03-09,101.76
62,2001-03-16,102.02
63,2001-03-23,101.94
64,2001-03-30,101.2
65,2001-04-06,100.71
66,2001-04-13,100.72
67,2001-04-20,100.93
68,2001-04-27,100.73
69,2001-05-04,100.07
70,2001-05-11,100.04
71,2001-05-18,100.7
72,2001-05-25,101.17
73,2001-06-01,101.15
74,2001-06-08,101.08
75,2001-06-15,101.02
76,2001-06-22,100.98
77,2001-06-29,100.98
78,2001-07-06,101.04
79,2001-07-13,100.5
80,2001-07-20,100.57
81,2001-07-27,100.77
82,2001-08-03,101.39
83,2001-08-10,102.13
84,2001-08-17,102.3
85,2001-08-24,101.97
86,2001-08-31,102.46
87,2001-09-07,102.85
88,2001-09-14,103.04
89,2001-09-21,103.16
90,2001-09-28,102.05
91,2001-10-05,101.68
92,2001-10-12,99.99
93,2001-10-19,99.62
94,2001-10-26,99.48
95,2001-11-02,99.41
96,2001-11-09,99.74
97,2001-11-16,99.33
98,2001-11-23,99.04
99,2001-11-30,99.21
100,2001-12-07,99.07
101,2001-12-14,99.15
102,2001-12-21,99.07
103,2001-12-28,99.22
104,2002-01-04,99.0
105,2002-01-11,99.18
106,2002-01-18,99.95
107,2002-01-25,99.97
108,2002-02-01,100.38
109,2002-02-08,100.37
110,2002-02-15,100.41
111,2002-02-22,100.39
112,2002-03-01,100.31
113,2002-03-08,100.16
114,2002-03-15,100.1
115,2002-03-22,99.93
116,2002-03-29,99.24
117,2002-04-05,99.12
118,2002-04-12,99.22
119,2002-04-19,99.29
120,2002-04-26,99.69
121,2002-05-03,99.7
122,2002-05-10,99.61
123,2002-05-17,99.72
124,2002-05-24,99.5
125,2002-05-31,99.34
126,2002-06-07,99.07
127,2002-06-14,99.19
128,2002-06-21,99.11
129,2002-06-28,99.31
130,2002-07-05,99.2
131,2002-07-12,99.69
132,2002-07-19,100.13
133,2002-07-26,100.1
134,2002-08-02,99.95
135,2002-08-09,100.01
136,2002-08-16,100.31
137,2002-08-23,100.52
138,2002-08-30,100.43
139,2002-09-06,100.44
140,2002-09-13,100.31
141,2002-09-20,99.71
142,2002-09-27,99.57
143,2002-10-04,99.32
144,2002-10-11,99.15
145,2002-10-18,99.23
146,2002-10-25,99.91
147,2002-11-01,100.12
148,2002-11-08,100.19
149,2002-11-15,99.79
150,2002-11-22,99.77
151,2002-11-29,99.98
152,2002-12-06,99.93
153,2002-12-13,100.05
154,2002-12-20,100.48
155,2002-12-27,100.74
156,2003-01-03,100.57
157,2003-01-10,100.31
158,2003-01-17,100.26
159,2003-01-24,100.19
160,2003-01-31,100.05
161,2003-02-07,99.71
162,2003-02-14,99.2
163,2003-02-21,99.44
164,2003-02-28,99.87
165,2003-03-07,99.74
166,2003-03-14,99.4
167,2003-03-21,98.9
168,2003-03-28,98.74
169,2003-04-04,98.32
170,2003-04-11,97.89
171,2003-04-18,97.8
172,2003-04-25,97.5
173,2003-05-02,97.44
174,2003-05-09,98.26
175,2003-05-16,98.74
176,2003-05-23,98.67
177,2003-05-30,98.51
178,2003-06-06,98.67
179,2003-06-13,98.09
180,2003-06-20,98.13
181,2003-06-27,97.66
182,2003-07-04,97.04
183,2003-07-11,97.2
184,2003-07-18,97.24
185,2003-07-25,97.56
186,2003-08-01,97.57
187,2003-08-08,97.51
188,2003-08-15,97.75
189,2003-08-22,98.24
190,2003-08-29,98.06
191,2003-09-05,97.72
192,2003-09-12,97.52
193,2003-09-19,97.39
194,2003-09-26,97.47
195,2003-10-03,97.39
196,2003-10-10,97.22
197,2003-10-17,96.78
198,2003-10-24,96.48
199,2003-10-31,96.54
200,2003-11-07,96.61
201,2003-11-14,97.0
202,2003-11-21,97.46
203,2003-11-28,97.31
204,2003-12-05,97.25
205,2003-12-12,97.36
206,2003-12-19,97.46
207,2003-12-26,97.46
208,2004-01-02,97.54
209,2004-01-09,97.27
210,2004-01-16,97.26
211,2004-01-23,96.98
212,2004-01-30,97.35
213,2004-02-06,97.47
214,2004-02-13,98.08
215,2004-02-20,97.92
216,2004-02-27,97.55
217,2004-03-05,97.26
218,2004-03-12,97.36
219,2004-03-19,97.83
220,2004-03-26,98.16
221,2004-04-02,98.49
222,2004-04-09,98.61
223,2004-04-16,99.24
224,2004-04-23,98.76
225,2004-04-30,98.38
226,2004-05-07,98.7
227,2004-05-14,98.19
228,2004-05-21,98.16
229,2004-05-28,98.43
230,2004-06-04,98.56
231,2004-06-11,98.28
232,2004-06-18,98.12
233,2004-06-25,98.0
234,2004-07-02,98.0
235,2004-07-09,97.75
236,2004-07-16,98.08
237,2004-07-23,97.89
238,2004-07-30,97.77
239,2004-08-06,97.94
240,2004-08-13,98.09
241,2004-08-20,98.05
242,2004-08-27,98.35
243,2004-09-03,98.59
244,2004-09-10,99.0
245,2004-09-17,99.29
246,2004-09-24,99.28
247,2004-10-01,99.32
248,2004-10-08,99.51
249,2004-10-15,99.57
250,2004-10-22,99.77
251,2004-10-29,99.84
252,2004-11-05,99.71
253,2004-11-12,99.88
254,2004-11-19,99.68
255,2004-11-26,99.55
256,2004-12-03,99.59
257,2004-12-10,99.4
258,2004-12-17,99.54
259,2004-12-24,99.55
260,2004-12-31,99.64
261,2005-01-07,99.48
262,2005-01-14,99.8
263,2005-01-21,99.88
264,2005-01-28,99.86
265,2005-02-04,99.78
266,2005-02-11,99.43
267,2005-02-18,99.61
268,2005-02-25,99.88
269,2005-03-04,100.08
270,2005-03-11,100.2
271,2005-03-18,100.19
272,2005-03-25,99.77
273,2005-04-01,99.51
274,2005-04-08,99.14
275,2005-04-15,99.54
276,2005-04-22,99.46
277,2005-04-29,99.63
278,2005-05-06,99.96
279,2005-05-13,99.59
280,2005-05-20,99.51
281,2005-05-27,99.6
282,2005-06-03,99.36
283,2005-06-10,99.47
284,2005-06-17,99.25
285,2005-06-24,99.32
286,2005-07-01,99.08
287,2005-07-08,98.91
288,2005-07-15,99.11
289,2005-07-22,99.52
290,2005-07-29,100.16
291,2005-08-05,100.38
292,2005-08-12,100.37
293,2005-08-19,99.94
294,2005-08-26,99.7
295,2005-09-02,99.32
296,2005-09-09,99.15
297,2005-09-16,99.12
298,2005-09-23,99.26
299,2005-09-30,99.18
300,2005-10-07,99.16
301,2005-10-14,99.29
302,2005-10-21,99.22
303,2005-10-28,99.25
304,2005-11-04,99.18
305,2005-11-11,99.25
306,2005-11-18,99.3
307,2005-11-25,99.65
308,2005-12-02,99.83
309,2005-12-09,100.12
310,2005-12-16,100.31
311,2005-12-23,100.73
312,2005-12-30,100.94
313,2006-01-06,101.1
314,2006-01-13,101.49
315,2006-01-20,101.6
316,2006-01-27,101.91
317,2006-02-03,101.62
318,2006-02-10,101.81
319,2006-02-17,101.75
320,2006-02-24,101.92
321,2006-03-03,102.05
322,2006-03-10,101.79
323,2006-03-17,102.05
324,2006-03-24,102.21
325,2006-03-31,102.16
326,2006-04-07,102.28
327,2006-04-14,102.29
328,2006-04-21,102.54
329,2006-04-28,102.61
330,2006-05-05,102.64
331,2006-05-12,102.75
332,2006-05-19,102.49
333,2006-05-26,102.76
334,2006-06-02,102.99
335,2006-06-09,102.95
336,2006-06-16,102.92
337,2006-06-23,102.96
338,2006-06-30,102.96
339,2006-07-07,103.07
340,2006-07-14,103.24
341,2006-07-21,103.23
342,2006-07-28,103.29
343,2006-08-04,103.28
344,2006-08-11,103.45
345,2006-08-18,103.44
346,2006-08-25,103.58
347,2006-09-01,103.7
348,2006-09-08,103.75
349,2006-09-15,103.54
350,2006-09-22,103.01
351,2006-09-29,102.98
352,2006-10-06,103.22
353,2006-10-13,103.35
354,2006-10-20,103.74
355,2006-10-27,103.97
356,2006-11-03,104.02
357,2006-11-10,103.89
358,2006-11-17,104.16
359,2006-11-24,104.16
360,2006-12-01,104.01
361,2006-12-08,103.75
362,2006-12-15,103.91
363,2006-12-22,104.09
364,2006-12-29,104.4
365,2007-01-05,104.41
366,2007-01-12,104.43
367,2007-01-19,104.45
368,2007-01-26,104.5
369,2007-02-02,104.63
370,2007-02-09,104.7
371,2007-02-16,104.44
372,2007-02-23,104.55
373,2007-03-02,104.77
374,2007-03-09,104.84
375,2007-03-16,104.56
376,2007-03-23,104.69
377,2007-03-30,104.88
378,2007-04-06,104.91
379,2007-04-13,104.75
380,2007-04-20,104.68
381,2007-04-27,104.45
382,2007-05-04,103.99
383,2007-05-11,104.17
384,2007-05-18,103.83
385,2007-05-25,103.31
386,2007-06-01,103.3
387,2007-06-08,103.09
388,2007-06-15,103.04
389,2007-06-22,103.05
390,2007-06-29,103.2
391,2007-07-06,103.66
392,2007-07-13,103.78
393,2007-07-20,103.63
394,2007-07-27,103.89
395,2007-08-03,103.79
396,2007-08-10,103.91
397,2007-08-17,103.66
398,2007-08-24,103.9
399,2007-08-31,103.89
400,2007-09-07,103.67
401,2007-09-14,103.84
402,2007-09-21,103.99
403,2007-09-28,104.34
404,2007-10-05,105.22
405,2007-10-12,105.92
406,2007-10-19,106.04
407,2007-10-26,106.03
408,2007-11-02,106.29
409,2007-11-09,106.33
410,2007-11-16,106.17
411,2007-11-23,106.37
412,2007-11-30,106.51
413,2007-12-07,106.34
414,2007-12-14,106.58
415,2007-12-21,106.16
416,2007-12-28,106.58
417,2008-01-04,106.87
418,2008-01-11,106.85
419,2008-01-18,106.62
420,2008-01-25,106.43
421,2008-02-01,107.08
422,2008-02-08,107.17
423,2008-02-15,107.24
424,2008-02-22,107.29
425,2008-02-29,107.4
426,2008-03-07,107.42
427,2008-03-14,107.6
428,2008-03-21,107.44
429,2008-03-28,107.57
430,2008-04-04,107.75
431,2008-04-11,108.37
432,2008-04-18,109.54
433,2008-04-25,109.79
434,2008-05-02,109.72
435,2008-05-09,109.77
436,2008-05-16,109.58
437,2008-05-23,109.96
438,2008-05-30,110.04
439,2008-06-06,110.15
440,2008-06-13,110.02
441,2008-06-20,110.26
442,2008-06-27,110.34
443,2008-07-04,110.48
444,2008-07-11,110.38
445,2008-07-18,110.59
446,2008-07-25,110.43
447,2008-08-01,110.04
448,2008-08-08,109.53
449,2008-08-15,108.73
450,2008-08-22,108.83
451,2008-08-29,108.79
452,2008-09-05,108.65
453,2008-09-12,109.03
454,2008-09-19,108.81
455,2008-09-26,109.01
456,2008-10-03,108.93
457,2008-10-10,107.98
458,2008-10-17,107.82
459,2008-10-24,107.51
460,2008-10-31,108.54
461,2008-11-07,108.97
462,2008-11-14,108.1
463,2008-11-21,107.42
464,2008-11-28,108.04
465,2008-12-05,107.43
466,2008-12-12,107.71
467,2008-12-19,108.35
468,2008-12-26,109.36
469,2009-01-02,109.53
470,2009-01-09,107.89
471,2009-01-16,107.61
472,2009-01-23,107.6
473,2009-01-30,107.28
474,2009-02-06,107.5
475,2009-02-13,107.78
476,2009-02-20,107.54
477,2009-02-27,107.82
478,2009-03-06,107.43
479,2009-03-13,107.71
480,2009-03-20,107.42
481,2009-03-27,107.41
482,2009-04-03,107.42
483,2009-04-10,107.43
484,2009-04-17,107.7
485,2009-04-24,107.98
486,2009-05-01,108.25
487,2009-05-08,108.63
488,2009-05-15,108.55
489,2009-05-22,108.29
490,2009-05-29,108.53
491,2009-06-05,108.46
492,2009-06-12,108.21
493,2009-06-19,108.18
494,2009-06-26,108.14
495,2009-07-03,108.3
496,2009-07-10,107.88
497,2009-07-17,107.85
498,2009-07-24,108.46
499,2009-07-31,108.38
500,2009-08-07,108.29
501,2009-08-14,108.14
502,2009-08-21,108.0
503,2009-08-28,108.23
504,2009-09-04,108.15
505,2009-09-11,108.54
506,2009-09-18,108.58
507,2009-09-25,108.6
508,2009-10-02,108.48
509,2009-10-09,108.91
510,2009-10-16,109.09
511,2009-10-23,109.07
512,2009-10-30,109.23
513,2009-11-06,109.2
514,2009-11-13,109.22
515,2009-11-20,109.18
516,2009-11-27,109.28
517,2009-12-04,109.24
518,2009-12-11,109.22
519,2009-12-18,109.28
520,2009-12-25,109.16
521,2010-01-01,109.24
522,2010-01-08,109.29
523,2010-01-15,109.28
524,2010-01-22,109.14
525,2010-01-29,109.03
526,2010-02-05,108.71
527,2010-02-12,108.72
528,2010-02-19,109.27
529,2010-02-26,109.3
530,2010-03-05,109.38
531,2010-03-12,109.39
532,2010-03-19,109.41
533,2010-03-26,109.3
534,2010-04-02,109.42
535,2010-04-09,109.39
536,2010-04-16,110.09
537,2010-04-23,110.88
538,2010-04-30,111.42
539,2010-05-07,111.1
540,2010-05-14,111.49
541,2010-05-21,111.11
542,2010-05-28,110.94
543,2010-06-04,111.11
544,2010-06-11,111.16
545,2010-06-18,111.66
546,2010-06-25,111.59
547,2010-07-02,110.98
548,2010-07-09,110.9
549,2010-07-16,111.35
550,2010-07-23,111.34
551,2010-07-30,111.75
552,2010-08-06,111.83
553,2010-08-13,111.6
554,2010-08-20,111.94
555,2010-08-27,111.98
556,2010-09-03,112.25
557,2010-09-10,112.37
558,2010-09-17,112.51
559,2010-09-24,112.55
560,2010-10-01,112.62
561,2010-10-08,112.64
562,2010-10-15,112.81
563,2010-10-22,112.96
564,2010-10-29,113.41
